개런티	개란티
칸타빌레	캔타빌레
타임머신	타이머신
타임캡슐	타임캪슐
타지마할	타즈마할
파라과이	파라가이
파라미터	패러미터
패럴림픽	파랄림픽
파르테논	빠르테논
파인애플	파인에플
판타지아	환타지아
패러다임	파라다임
패러독스	파라독스
팬터마임	팬토마임
하이에나	하이예나
하이패션	하이패숀
하이네켄	하이넥켄
가스레인지	까스레인지
가스라이터	가스라이타
내셔널리그	내셔날리스
다이너마이트	다이나마이트
다이어그램	다이아그램
다이얼로그	다이알로그
다큐멘터리	도큐멘터리
라디에이터	라지에이터
라스베가스	라스베거스
라스팔마스	라스팔머스
라이브러리	라이브라리
마리오네트	마리오네뜨
마우스피스	마우스피쓰
마이크로그램	미크로그램
마케도니아	마케도니야
발렌시아가	발런시아가
백스페이스	백스패이스
사우디아라비아	싸우디아라비아
사우샘프턴	사우샘프튼
산타클로스	산타크로스
샌안토니오	산안토니오
생텍쥐페리	생텍쥐베리
아르키메데스	아르키메데즈
아르헨티나	아르핸티나
아모레퍼시픽	아모레파시픽
엔터테인먼트	앤터테인먼트
카시오페아	캐시오페아
카타르시스	캐타르시스
카퍼레이드	카퍼래이드
카페테리아	까페테리아
타이포그래피	타이포그라피
타임스퀘어	타임스퀘아
파라다이스	패러다이스
파운데이션	화운데이션
팔레스타인	팔래스타인
패러글라이딩	파라글라이딩
프라이팬	흐라이팬
하이라이트	하일라이트
게릴라	개릴라
게스트	개스트
골든아워	골덴아워
골키퍼	꼴키퍼
그랑프리	그랑프뤼
그래프	그레프
기네스북	기내스북
네온사인	내온사인
녹다운	녹따운
논스톱	논스탑
다이제스트	다이재스트
데이터	데이타
드리블	드리볼
디저트	디져트
딜럭스	디럭스
딜레마	딜래마
라이벌	라이발
라커룸	락커룸
러닝셔츠	런닝셔츠
레스토랑	래스토랑
레지던트	래지던트
레코드	래코드
레크리에이션	래크리에이션
레퍼리	리퍼리
레퍼토리	래퍼토리
렌터카	렌트카
로큰롤	롸큰롤
로열티	로얄티
로테이션	로태이션
롤러스케이트	롤러스캐이트
르네상스	르내상스
리더십	리더쉽
리사이틀	리싸이틀
리셉션	리쎕션
리시버	리씨버
리조트	리조뜨
리포터	리포타
릴레이	릴래이
매니저	매니져
매니큐어	메니큐어
매트리스	메트리스
머플러	머플라
메이크업	매이크업
모노레일	모노래일
바리케이드	바리케이트
바비큐	바베큐
바캉스	바캉쓰
박테리아	박태리아
발레리나	발래리나
배드민턴	베드민턴
백미러	백밀러
베스트셀러	베스트샐러
베이스캠프	배이스캠프
베테랑	베태랑
부메랑	부매랑
불도저	불도져
브래지어	브레지어
블라우스	불라우스
비스킷	비스켓
비즈니스	비지니스
색소폰	섹소폰
샴페인	샴패인
세미나	새미나
센터링	샌터링
소프트웨어	소프트왜어
쇼핑센터	쇼핑샌터
슈퍼마켓	수퍼마켓
스케일링	스캐일링
스테이크	스태이크
스튜디오	스투디오
스튜어디스	스투어디스
스프링클러	스프링쿨러
슬롯머신	슬랏머신
실루엣	실루앳
아이섀도	아이셰도
아이젠	아이잰
악센트	악샌트
애드벌룬	에드벌룬
액세서리	악세서리
앰뷸런스	앰블런스
인큐베이터	인큐배이터
인터체인지	인터채인지
인테리어	인태리어
인플레이션	인플래이션
주니어	쥬니어
지그재그	지그자그
초콜릿	초콜렛
카운슬러	카운셀러
캐주얼	캐쥬얼
컴퍼니	컴파니
콘택트렌즈	컨택트렌즈
콘테스트	컨테스트
쿠데타	쿠대타
크렘린	크램린
클라이맥스	클라이막스
탤런트	탈런트
패스포트	페스포트
페널티	페날티
프라이버시	프라이바시
프러포즈	프로포즈
플래카드	플랜카드
피겨스케이팅	피겨스캐이팅
해트트릭	헤트트릭
헤드라인	해드라인
헤게모니	헤개모니
훌라후프	훌라우프
휠체어	휠채어
히스테리	히스태리
